inferred_rank,baseline_min,sample_count
PG1,32.64057279236277,14665
PF1,28.939632363180614,14362
SG1,31.393038990025808,14337
SF1,30.98901713885974,14295
C1,27.709848968304616,14103
PG2,20.463251670378618,12572
PF2,18.73902523332181,11572
SG2,20.55120428189117,11210
SF2,20.1618753617596,10366
C2,15.315952681750316,8707
SG3,14.00890756302521,5950
PF3,12.721399250401571,5603
PG3,12.5832484206236,4907
SF3,12.628817906271859,4289
C3,8.378795180722891,2075
SG4,9.207350521119034,1823
PF4,8.942178940961655,1643
PG4,9.461070559610706,822
SF4,8.745364647713226,809
SG5,6.66887417218543,302
PF5,5.640625,192
F1,15.781065088757396,169
SF5,5.958333333333333,120
C4,5.566666666666666,120
G1,19.22772277227723,101
PG5,5.090909090909091,33
SF6,5.8,25
F2,23.0,17
SG6,5.6875,16
G2,28.0,12
PF6,4.0,7
F3,21.0,3
G3,25.0,1
